name,par_rank,k_q1,k_q2,k_q3,k_q4,k_q5,k_top10pc,k_top1pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auburn University,0.759629444,0.110229523,0.103407908,0.131615817,0.246533071,0.408213682,0.241257004,0.028522201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auburn University Montgomery,0.554674188,0.113842444,0.138851108,0.237156001,0.298960252,0.211190196,0.08854887,0.003079503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augsburg College,0.696099732,0.077603021,0.100057786,0.142358164,0.318512438,0.361468592,0.17019297,0.016457066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augusta Technical College,0.425581906,0.165295413,0.269260581,0.2978213,0.181517648,0.086105058,0.031221789,0.001708091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Augustana College of Rock Island, IL",0.754517896,0.072815838,0.072863674,0.120494768,0.265508773,0.468316947,0.272494981,0.035872668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Augustana College of Sioux Falls, SD",0.677949157,0.066157595,0.126274671,0.180580025,0.29209259,0.334895119,0.171763685,0.03137929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora University,0.622092702,0.082738845,0.114246564,0.211859988,0.26731146,0.323843143,0.13000807,0.005292535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin College,0.710047733,0.096770274,0.085452734,0.133749923,0.268264255,0.415762815,0.255272753,0.055502414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Community College,0.589719427,0.14887383,0.172013834,0.228100892,0.255923134,0.19508831,0.084542696,0.006987203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Peay State University,0.528913904,0.130489051,0.170655615,0.229943614,0.280218302,0.188693419,0.075494041,0.004476971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automotive Training Center,0.580209138,0.116401878,0.106022574,0.186606079,0.333995818,0.256973651,0.089522955,0.00152527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aveda Institute,0.620733431,0.178131132,0.261797032,0.306657305,0.183175831,0.070238701,0.014710234,0.000645019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aveda Institute Covington,0.539925666,0.285395562,0.315933103,0.216305606,0.13082081,0.051544919,0.004172864,0.00031933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
