name,Mean Parental Income,Median Parental Income,Mean Child Earnings,Median Child Earnings,Mean Kid Earnings (non-zero)
Bunker Hill Community College,67958.95742,49500,32209.07492,29300,34200
Burlington County College - Pemberton Campus,94760.70869,83200,37510.10713,33500,37800
"Butler County Community College of Butler, PA",74248.59316,66300,34194.70803,32400,34700
"Butler County Community College of El Dorado, KS",81621.4791,75200,31827.55132,28800,32500
Butler University,196070.586,121500,68517.19555,57300,61400
Butte College,81294.32462,64100,34286.59561,27300,34200
CUNY Bernard M. Baruch College,66249.87845,42800,69068.9166,57600,61700
CUNY Borough Of Manhattan Community College,45008.48356,33500,34761.37123,31900,36100
CUNY Bronx Community College,39859.19794,29700,31412.16821,28700,33700
CUNY Brooklyn College,81701.99678,52200,53799.11341,44300,51900
CUNY Hunter College,74827.43685,49800,47546.28142,44400,49500
CUNY John Jay College Of Criminal Justice,56952.99519,41800,49034.96504,45200,49300
CUNY Laguardia Community College,42930.78843,33800,34091.89267,31800,36700
CUNY Lehman College,45762.72522,32500,42720.6243,40700,43500
CUNY Medgar Evers College,44877.50819,35100,34179.56223,30900,34700
CUNY Queens College,93543.63791,63300,55617.20726,48200,54900
CUNY York College,46950.67207,36500,40589.20853,36400,40300
"CUNY, Hostos Community College",34486.3548,26700,30712.70613,27700,33100
Cabrillo College,103351.7815,70200,33680.19711,26500,34600
Cabrini College,144233.6016,98100,49354.61884,46700,49500
Cairn University,96076.04173,77100,33441.61844,26500,35700
Caldwell College,106866.5621,84300,47623.91517,45400,48700
Caldwell Community College & Technical Institute,89643.4853,60300,26553.32865,23900,28200
Calhoun Community College,81785.55738,72600,29716.87251,26100,31200
California Baptist University,94525.19923,82600,40537.43385,36200,42400
California College Of The Arts,160342.7458,90100,37838.00831,29700,35100
California Culinary Academy,110464.0925,66000,34039.54725,27900,32600
California Institute Of Technology,185591.1348,124500,119502.5455,83000,89700
California Institute Of The Arts,205473.4941,108700,46508.11575,25300,33400
California Lutheran University,169644.5575,110600,57255.63568,50900,54700
California Maritime Academy,132454.2234,113100,89270.23137,85800,88700
California Polytechnic State University,169835.7176,124800,76443.30962,65500,70500
"California State Polytechnic University, Pomona",98379.03405,80200,58449.62114,55100,59600
California State University - Sacramento,107518.9904,88700,51314.20331,47900,51500
California State University Channel Islands,141960.9635,96300,45810.76147,47300,48500
"California State University, Bakersfield",84211.55416,67700,47321.12536,46100,50600
"California State University, Chico",150534.7388,112200,56332.84072,48700,53300
"California State University, Dominguez Hills",57771.22737,45600,42627.00179,40300,43900
"California State University, East Bay",104528.7794,86000,55258.10369,51300,55300
"California State University, Fresno",93996.48605,72400,50156.2507,44400,48200
"California State University, Fullerton",103739.6362,83300,52188.20571,47800,52100
"California State University, Long Beach",116773.1328,85800,53931.90846,48800,52600
"California State University, Los Angeles",52114.62349,36600,44225.55413,43000,46500
"California State University, Monterey Bay",123045.047,93200,44659.59198,41100,45400
"California State University, Northridge",84829.51677,61100,49244.33341,44100,48600
"California State University, San Bernardino",82251.9873,69800,45793.71725,43500,47200
"California State University, San Marcos",128226.3448,93600,50603.34853,44400,48600
"California State University, Stanislaus",83972.02921,72300,44836.2289,44800,48300
California University Of Pennsylvania,81707.01576,73800,39998.78044,38500,41000
Calvin College,158432.8538,111500,51864.4055,45900,49100
Cambria Rowe Business College,53077.62808,46800,23697.25065,21700,26400
Camden County College,84978.57228,74000,34639.32325,30500,35300
Cameron University,62172.31258,56400,36064.18756,32800,36700
Campbell University,88538.40074,69900,48090.27425,42700,45800
Campbellsville University,81438.70415,68100,34944.87272,35100,37100
Canisius College,121289.8098,94200,59455.41871,50900,52600
Cape Cod Community College,88195.67496,67700,31061.69199,27300,31900
Cape Fear Community College,99258.4688,70800,28566.51252,24200,28800
Capital Area Technical College,56711.81738,44300,34661.86397,24600,30100
Capital Community College,57093.28577,46200,32414.29057,28900,31000
Capital University,100713.1129,84100,48001.15938,44000,45200
Capri Institute Of Hair Design,88817.8218,73100,23657.13185,18300,24200
Cardinal Stritch University,98632.30558,88400,42224.57465,39100,40300
Carl Albert State College,53883.02929,45700,30555.15306,23900,29300
Carl Sandburg College,64202.55549,59300,31640.35594,26300,29900
Carleton College,258017.3434,152000,66866.31335,51700,54900
Carlow University,84554.05997,66100,40291.15247,37900,40400
Carnegie Mellon University,221109.1144,134400,109957.0418,78400,85300
Carrington College California,59022.17386,47900,26076.92089,25000,31800
"Carrington College of Mesa, AZ",53505.6295,40200,21676.52913,20100,25800
"Carrington College of Spokane Valley, WA",60433.70976,46500,21232.06392,20400,24300
